site,x,y,z,cpu_psi,fpga_psi,cpu_density,fpga_density,density_error
0,0,0,0,-1505.9559631347656,-1505.9559631348,2267903.3629011596,2267903.3629012629,1.0337680578231812e-07
1,1,0,0,-17319.60417175293,-17319.604171752901,299968688.66620147,299968688.66620046,-1.0132789611816406e-06
2,2,0,0,-32336.573516845703,-32336.573516845699,1045653986.8103669,1045653986.8103666,-2.384185791015625e-07
3,3,0,0,19876.871231079102,19876.871231079102,395090009.93690002,395090009.93690002,0
4,4,0,0,19876.871200561523,19876.871200561502,395090008.72371209,395090008.72371125,-8.3446502685546875e-07
5,5,0,0,-32336.573104858398,-32336.573104858398,1045653960.1658515,1045653960.1658515,0
6,6,0,0,-17319.604232788086,-17319.6042327881,299968690.78041101,299968690.78041148,4.76837158203125e-07
7,7,0,0,-1505.9560394287109,-1505.9560394287,2267903.5926918089,2267903.5926917763,-3.2596290111541748e-08
8,0,1,0,-17319.603973388672,-17319.603973388701,299968681.7950207,299968681.79502165,9.5367431640625e-07
9,1,1,0,-15382.151794433594,-15382.151794433599,236610593.82699662,236610593.8269968,1.7881393432617188e-07
10,2,1,0,12867.929077148438,12867.929077148399,165583598.73452222,165583598.73452127,-9.5367431640625e-07
11,3,1,0,13511.765625,13511.765625,182567810.30493164,182567810.30493164,0
12,4,1,0,13511.765487670898,13511.7654876709,182567806.5938144,182567806.59381443,2.9802322387695312e-08
13,5,1,0,12867.929138183594,12867.929138183599,165583600.30531436,165583600.30531451,1.4901161193847656e-07
14,6,1,0,-15382.151977539062,-15382.151977539101,236610599.46010888,236610599.46011007,1.1920928955078125e-06
15,7,1,0,-17319.604187011719,-17319.604187011701,299968689.19475389,299968689.19475323,-6.5565109252929688e-07
16,0,2,0,-32336.572967529297,-32336.572967529301,1045653951.2843465,1045653951.2843467,2.384185791015625e-07
17,1,2,0,12867.929275512695,12867.929275512701,165583603.83959669,165583603.83959681,1.1920928955078125e-07
18,2,2,0,18387.755477905273,18387.755477905299,338109551.51523536,338109551.51523632,9.5367431640625e-07
19,3,2,0,-6158.4843902587891,-6158.4843902588,37926929.985061169,37926929.985061303,1.3411045074462891e-07
