site,x,y,z,psi_q16,psi_hex,psi_float,psi_prev_q16,psi_prev_hex,psi_prev_float,m_prev_q16,m_prev_hex,m_prev_float
0,0,0,0,-2146694372,0x800C0B1C,-32755.956604003906,-152602316,0xF6E77934,-2328.5265502929688,-46466471,0xFD3AFA59,-709.0220794677734
1,1,0,0,422638510,0x1930F3AE,6448.951873779297,-852118699,0xCD35B355,-13002.29948425293,28306435,0x01AFEC03,431.9219207763672
2,2,0,0,799883167,0x2FAD3F9F,12205.248519897461,-1971040170,0x8A845056,-30075.68618774414,-10596098,0xFF5E50FE,-161.68362426757812
3,3,0,0,519048577,0x1EF00D81,7920.052749633789,1894112461,0x70E5DCCD,28901.862503051758,-16264673,0xFF07D21F,-248.17921447753906
4,4,0,0,-2063793494,0x84FD02AA,-31490.98959350586,-1024450248,0xC2F02138,-15631.870239257812,13619984,0x00CFD310,207.824462890625
5,5,0,0,-1865620060,0x90CCE5A4,-28467.102966308594,-1798987607,0x94C5A0A9,-27450.37242126465,-53495331,0xFCCFB9DD,-816.2739715576172
6,6,0,0,2121043243,0x7E6C8D2B,32364.55143737793,-1323956684,0xB1160634,-20201.97576904297,32711629,0x01F323CD,499.1398468017578
7,7,0,0,-1419468833,0xAB649FDF,-21659.37550354004,-1847351970,0x91E3A55E,-28188.354034423828,-5320040,0xFFAED298,-81.1773681640625
8,0,1,0,-15421214,0xFF14B0E2,-235.30905151367188,-1329114222,0xB0C75392,-20280.673553466797,-50966633,0xFCF64F97,-777.6891021728516
9,1,1,0,-1166032845,0xBA7FC033,-17792.249221801758,954234865,0x38E077F1,14560.468521118164,-45356158,0xFD4BEB82,-692.0800476074219
10,2,1,0,-754516226,0xD306FEFE,-11513.003936767578,-340645868,0xEBB22814,-5197.843444824219,6152583,0x005DE187,93.88096618652344
11,3,1,0,-1507028107,0xA62C9375,-22995.42399597168,27582706,0x01A4E0F2,420.8786926269531,59214052,0x038788E4,903.5347290039062
12,4,1,0,218895478,0x0D0C1476,3340.0799255371094,1216830476,0x48875C0C,18567.35955810547,35258241,0x0219FF81,537.9980621337891
13,5,1,0,-1484375582,0xA78639E2,-22649.773895263672,-568225563,0xDE2190E5,-8670.434005737305,-51457288,0xFCEED2F8,-785.1759033203125
14,6,1,0,388649758,0x172A531E,5930.324676513672,-1561756900,0xA2E97B1C,-23830.519104003906,47491225,0x02D4A899,724.6585845947266
15,7,1,0,-2007003387,0x885F8F05,-30624.441329956055,1036706914,0x3DCAE462,15818.892120361328,-12178775,0xFF462AA9,-185.83335876464844
16,0,2,0,487142918,0x1D093606,7433.211029052734,-552423122,0xDF12B12E,-8429.307891845703,-10039870,0xFF66CDC2,-153.19625854492188
17,1,2,0,-82547969,0xFB146AFF,-1259.582046508789,1628315805,0x610E209D,24846.127395629883,26398887,0x0192D0A7,402.81504821777344
18,2,2,0,1966119241,0x75309949,30000.5987701416,868878747,0x33CA099B,13258.037521362305,-33687688,0xFDFDF778,-514.0333251953125
19,3,2,0,-2068274460,0x84B8A2E4,-31559.363708496094,317122311,0x12E6E707,4838.902450561523,50811558,0x030752A6,775.3228454589844
20,4,2,0,-799321760,0xD05B5160,-12196.68212890625,1134249686,0x439B46D6,17307.27670288086,27386293,0x01A1E1B5,417.8816680908203
21,5,2,0,-760700891,0xD2A8A025,-11607.374435424805,1105669173,0x41E72C35,16871.17268371582,35859806,0x02232D5E,547.1772155761719
22,6,2,0,1005236451,0x3BEAB0E3,15338.690963745117,-1701268178,0x9A98B52E,-25959.292266845703,-13269458,0xFF35862E,-202.47586059570312
23,7,2,0,1003522076,0x3BD0881C,15312.531677246094,-624067332,0xDACD7CFC,-9522.511779785156,-9641166,0xFF6CE332,-147.11251831054688
24,0,3,0,1367410188,0x5181060C,20865.02362060547,-1665357795,0x9CBCA81D,-25411.343307495117,-11961199,0xFF497C91,-182.51341247558594
25,1,3,0,1379448189,0x5238B57D,21048.708938598633,919038330,0x36C7697A,14023.412017822266,24679859,0x017895B3,376.5847625732422
26,2,3,0,2035037613,0x794C35AD,31052.209671020508,1934980263,0x735574A7,29525.455673217773,-54195063,0xFCC50C89,-826.9510345458984
27,3,3,0,-1655105419,0x9D591875,-25254.90446472168,-1799662684,0x94BB53A4,-27460.673278808594,9615339,0x0092B7EB,146.7184295654297
28,4,3,0,909472234,0x363571EA,13877.44497680664,-100017812,0xFA09D96C,-1526.1506958007812,-41967894,0xFD7F9EEA,-640.3792419433594
29,5,3,0,1719505696,0x667D9320,26237.57470703125,-2071995965,0x847FD9C3,-31616.149368286133,8050522,0x007AD75A,122.84121704101562
30,6,3,0,246485261,0x0EB1110D,3761.066604614258,-788622406,0xD0FE93BA,-12033.422943115234,-14001227,0xFF2A5BB5,-213.6417694091797
31,7,3,0,2079397985,0x7BF11861,31729.09523010254,762483316,0x2D729274,11634.572082519531,-38989104,0xFDAD12D0,-594.926513671875
32,0,4,0,1041703304,0x3E172188,15895.130981445312,-1932030733,0x8CD78CF3,-29480.449417114258,-2217646,0xFFDE2952,-33.838592529296875
33,1,4,0,342340943,0x1467B54F,5223.708236694336,1326695721,0x4F13C529,20243.77015686035,-22114426,0xFEAE8F86,-337.4393615722656
34,2,4,0,-941340444,0xC7E448E4,-14363.715270996094,1310950276,0x4E238384,20003.513732910156,66711682,0x03F9F082,1017.9394836425781
35,3,4,0,-1821778871,0x9369DC49,-27798.1395111084,-109127600,0xF97ED850,-1665.155029296875,16056453,0x00F50085,245.0020294189453
36,4,4,0,-1723566167,0x994477A9,-26299.53257751465,-149433607,0xF717D2F9,-2280.1758880615234,-57678032,0xFC8FE730,-880.096923828125
37,5,4,0,1605338358,0x5FAF84F6,24495.51937866211,60518231,0x039B6F57,923.4349212646484,-51832544,0xFCE91920,-790.90185546875
38,6,4,0,1192887881,0x471A0649,18202.0245513916,-1209331024,0xB7EB12B0,-18452.927001953125,-25664142,0xFE786572,-391.6037292480469
39,7,4,0,-1627770466,0x9EFA319E,-24837.806182861328,-763683819,0xD27B1C15,-11652.89030456543,-6038291,0xFFA3DCED,-92.13700866699219
40,0,5,0,-1882988402,0x8FC3E08E,-28732.122833251953,-440633719,0xE5BC7689,-6723.536972045898,-17023730,0xFEFC3D0E,-259.7615051269531
41,1,5,0,779139898,0x2E70BB3A,11888.731353759766,1412413322,0x542FB78A,21551.71694946289,-32388681,0xFE11C9B7,-494.21205139160156
42,2,5,0,-1079140538,0xBFAD9F46,-16466.377838134766,1502450812,0x598D947C,22925.580017089844,-58625409,0xFC81727F,-894.5527496337891
43,3,5,0,-3446304,0xFFCB69E0,-52.58642578125,270569019,0x10208E3B,4128.555587768555,-32761966,0xFE0C1792,-499.9079284667969
44,4,5,0,-1391357624,0xAD119148,-21230.432495117188,-1249105673,0xB58C28F7,-19059.8399810791,-18722485,0xFEE2514B,-285.6824493408203
45,5,5,0,-978080327,0xC5B3ADB9,-14924.321395874023,-1491732860,0xA715F684,-22762.037048339844,-72346730,0xFBB01396,-1103.9234924316406
46,6,5,0,191324142,0x0B675FEE,2919.374725341797,1063189328,0x3F5EFB50,16222.981689453125,-48023164,0xFD233984,-732.7753295898438
47,7,5,0,-1565028641,0xA2B78EDF,-23880.44190979004,817928179,0x30C097F3,12480.593551635742,22252457,0x01538BA9,339.54554748535156
48,0,6,0,1466447372,0x5768360C,22376.21112060547,-755885229,0xD2F21B53,-11533.893264770508,-11585886,0xFF4F36A2,-176.78659057617188
49,1,6,0,-1405447227,0xAC3A93C5,-21445.422775268555,-94619445,0xFA5C38CB,-1443.7781524658203,59583140,0x038D2AA4,909.1665649414062
50,2,6,0,320617187,0x131C3AE3,4892.230026245117,-1900308924,0x8EBB9644,-28996.413024902344,-31417754,0xFE209A66,-479.3968811035156
51,3,6,0,-1290158539,0xB319BE35,-19686.25700378418,-2069455676,0x84A69CC4,-31577.387634277344,-3713754,0xFFC75526,-56.667388916015625
52,4,6,0,811379044,0x305CA964,12380.661682128906,472997933,0x1C31602D,7217.375686645508,-18619208,0xFEE3E4B8,-284.1065673828125
53,5,6,0,639671073,0x26209B21,9760.605972290039,1294903020,0x4D2EA6EC,19758.65203857422,-40846766,0xFD90BA52,-623.2721862792969
54,6,6,0,-174776997,0xF5951D5B,-2666.8853302001953,583709239,0x22CAB237,8906.696151733398,-2993898,0xFFD25116,-45.683258056640625
55,7,6,0,-1827358168,0x9314BA28,-27883.272827148438,-1783600940,0x95B068D4,-27215.59051513672,26187734,0x018F97D6,399.5931091308594
56,0,7,0,-1544981199,0xA3E97531,-23574.542221069336,786334428,0x2EDE82DC,11998.511169433594,31268663,0x01DD1F37,477.12193298339844
57,1,7,0,2060141342,0x7ACB431E,31435.262176513672,470107299,0x1C0544A3,7173.268112182617,11995078,0x00B707C6,183.03036499023438
58,2,7,0,898417185,0x358CC221,13708.758316040039,-35183448,0xFDE724A8,-536.8568115234375,-52121615,0xFCE4AFF1,-795.3127288818359
59,3,7,0,-1979050409,0x8A0A1657,-30197.91273498535,-1965810228,0x8AD41DCC,-29995.88360595703,38316266,0x0248A8EA,584.6598205566406
60,4,7,0,-591622507,0xDCBC8E95,-9027.44303894043,1660136662,0x62F3ACD6,25331.67514038086,3089848,0x002F25B8,47.1473388671875
61,5,7,0,1377789644,0x521F66CC,21023.40155029297,1617398204,0x606789BC,24679.538024902344,-27134066,0xFE61F78E,-414.0329895019531
