site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
0,0,0,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
1,1,0,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
2,2,0,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
3,3,0,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
4,4,0,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
5,5,0,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
6,6,0,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
7,7,0,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
8,0,1,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
9,1,1,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
10,2,1,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
11,3,1,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
12,4,1,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
13,5,1,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
14,6,1,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
15,7,1,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
16,0,2,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
17,1,2,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
18,2,2,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
19,3,2,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
20,4,2,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
21,5,2,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
22,6,2,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
23,7,2,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
24,0,3,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
25,1,3,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
26,2,3,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
27,3,3,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
28,4,3,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
29,5,3,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
30,6,3,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
31,7,3,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
32,0,4,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
33,1,4,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
34,2,4,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
35,3,4,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
36,4,4,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
37,5,4,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
38,6,4,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
39,7,4,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
40,0,5,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
41,1,5,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
42,2,5,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
43,3,5,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
44,4,5,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
